id,title,imdbID,0,1,2,3,4,5,6,7
1,toy story,114709,-0.20198605954647064,-0.036899082362651825,0.14758792519569397,-0.06712047010660172,-0.8440560698509216,0.7811669707298279,-1.0642085075378418,-1.3000448942184448
2,jumanji,113497,-0.11082111299037933,-0.8843228816986084,0.13105493783950806,0.10734739154577255,0.46061334013938904,0.013325365260243416,-0.9008448719978333,-0.5172287225723267
3,grumpy old men,107050,-0.18063342571258545,0.4686771333217621,0.17457936704158783,0.06568042188882828,0.418882817029953,0.638296365737915,-1.3676666021347046,-1.8800379037857056
4,waiting to exhale,114885,-0.11478447914123535,1.247071623802185,-0.2704108655452728,0.616349995136261,-0.3276592493057251,0.344770610332489,0.215404212474823,-0.08631334453821182
5,father of the bride part ii,113041,0.10354166477918625,0.6128705143928528,0.12549012899398804,0.3202455937862396,-0.4442777931690216,0.7444530725479126,-0.38076072931289673,-0.2931905686855316
6,heat,113277,-0.0727197453379631,-0.061701882630586624,-0.32898497581481934,0.07416597753763199,0.1451239287853241,0.37158116698265076,-0.03890492022037506,-0.494276762008667
7,sabrina,47437,-0.09082290530204773,0.5815433263778687,-0.08077099174261093,0.44828176498413086,-0.10131148993968964,0.7501463890075684,-0.7809845805168152,-1.218482255935669
8,tom and huck,112302,0.39924344420433044,0.1719445139169693,0.0010288332123309374,-0.3393111526966095,-0.3851459324359894,-0.135964497923851,-0.026370281353592873,-0.8962321877479553
9,sudden death,114576,-0.19004502892494202,-0.5395516157150269,-1.2634319067001343,0.07872014492750168,-0.169745534658432,1.0818212032318115,0.07506269961595535,-1.1294571161270142
10,goldeneye,113189,-0.16494210064411163,0.5608251690864563,-0.33049923181533813,-0.01281735859811306,-0.7364100813865662,0.6237820386886597,0.9038534164428711,-0.2715410888195038
11,the american president,112346,0.8764317631721497,0.4487239420413971,0.5396537780761719,0.9292183518409729,-0.2921780049800873,0.05397312715649605,-0.5677545070648193,-0.7980822324752808
12,dracula: dead and loving it,112896,0.34597399830818176,-0.49483534693717957,0.2025838941335678,0.5305870175361633,-0.8572543263435364,0.9702411890029907,-0.36811667680740356,-0.6577619314193726
13,balto,112453,0.08439889550209045,-0.046307001262903214,-0.20983374118804932,-0.40899771451950073,-0.27414679527282715,-0.18423277139663696,0.0935039222240448,-0.4936702847480774
14,nixon,113987,0.3160410523414612,-0.7677962183952332,0.6259936094284058,0.19477862119674683,0.6161839365959167,1.0893865823745728,-0.801057755947113,-0.9961237907409668
15,cutthroat island,112760,-0.3184221684932709,0.2833060026168823,-0.35380786657333374,-0.07534926384687424,-0.45890799164772034,0.8095276355743408,0.6729958653450012,-0.7176300883293152
16,casino,112641,-0.4111971855163574,0.12054180353879929,-0.2169138789176941,0.7079457640647888,0.37264615297317505,0.5787057876586914,-0.11956865340471268,-0.871163010597229
17,sense and sensibility,114388,0.059971243143081665,0.5056763291358948,0.14447088539600372,0.6426991820335388,-0.2899099290370941,0.2996314465999603,0.22234220802783966,-0.9720666408538818
18,four rooms,113101,-0.02633025497198105,0.749963641166687,-0.19712965190410614,0.11006931960582733,-0.33602893352508545,0.6820878982543945,0.4978863596916199,-0.7885516881942749
19,ace ventura: when nature calls,112281,0.7177003622055054,-0.10565909743309021,-0.4925589859485626,0.6902422308921814,-0.8156022429466248,0.10271172970533371,-0.6636525392532349,-1.2769808769226074
20,money train,113845,-0.34019002318382263,-0.06362387537956238,-0.02791599929332733,0.41309863328933716,-0.22352515161037445,-0.05893436819314957,0.005030832253396511,-0.8178660869598389
21,get shorty,113161,-0.07205742597579956,0.14503419399261475,-0.2473018616437912,0.36415761709213257,-0.5673242211341858,0.3431824743747711,0.038991186767816544,-0.8382998704910278
22,copycat,112722,0.060153529047966,-1.0733717679977417,0.4268849194049835,0.18467716872692108,-0.029180774465203285,0.5712984800338745,-0.6020210981369019,-0.6055680513381958
23,ninja assassin,1186367,0.005221824161708355,-0.21797116100788116,-0.39135125279426575,0.23599272966384888,0.16533008217811584,0.28564032912254333,-0.42480456829071045,-0.9227540493011475
24,powder,114168,0.014469373039901257,0.1475343555212021,-1.1253517866134644,0.21791738271713257,-0.30994176864624023,-0.002740045078098774,-0.16565650701522827,-1.4611687660217285
25,leaving las vegas,113627,0.13639086484909058,0.1564282327890396,0.22017036378383636,0.9922215342521667,-0.11176537722349167,0.5376121401786804,-0.18454714119434357,-0.6927759051322937
26,othello,114057,-0.3571913242340088,1.247739315032959,-0.07650560885667801,0.9485209584236145,1.4436451196670532,1.084621787071228,-0.3874506950378418,-0.9039055705070496
27,now and then,114011,0.0193258635699749,0.45503759384155273,0.6900134682655334,0.3010147213935852,-0.1704568862915039,0.8251521587371826,-0.47871747612953186,-1.0058374404907227
28,persuasion,114117,-0.19766589999198914,0.15578848123550415,0.518720269203186,0.534429669380188,0.1397559493780136,0.8928914666175842,0.031194528564810753,-0.7905997633934021
29,la cit� des enfants perdus,112682,-0.19269908964633942,-0.03350129351019859,-0.06346102058887482,0.27791982889175415,0.26181691884994507,-0.03717780113220215,-0.8506418466567993,-0.7676830291748047
30,yao a yao yao dao waipo qiao,115012,-0.23231609165668488,0.5089558959007263,-0.08777456730604172,0.20232538878917694,0.49222466349601746,1.04649817943573,0.1544819474220276,-0.8298091292381287
31,dangerous minds,112792,-0.1972726285457611,0.05501651018857956,-0.5674657225608826,0.779553234577179,0.7305387258529663,1.097397804260254,0.18510574102401733,-0.663212776184082
32,twelve monkeys,114746,-0.057258401066064835,0.010238027200102806,-1.3064320087432861,0.18983888626098633,-0.15513627231121063,0.32787442207336426,0.03975984454154968,-1.4370455741882324
33,wings of courage,114952,-0.8056074976921082,0.951072096824646,-0.14956119656562805,-0.7254101037979126,-1.1881167888641357,0.5752531886100769,1.1653821468353271,-1.4059659242630005
34,babe,112431,-0.2558232247829437,0.20638957619667053,0.8248859643936157,0.1258232444524765,-0.8827977180480957,0.6453635096549988,-0.299685001373291,-1.8927867412567139
