movie_id,title,year,rtAllCriticsRating,rtAudienceRating,rtAllCriticsNumReviews,rtAudienceNumRatings,rtAllCriticsScore,rtAudienceScore,drama,comedy,crime,action,thriller,horror,fantasy,family,animation
1,Toy Story,1995,9.0,3.7,73,102338,100,81,0.2628500531726338,0.9938900203665988,0.2789503707929264,0.35948116121062385,0.06827309236947791,0.1728395061728395,0.3722527472527473,0.524812030075188,0.9433962264150944
2,Jumanji,1995,5.6,3.2,28,44587,46,61,0.09305210918114144,0.11125254582484724,0.2783799201369081,0.9864113650401484,0.2176706827309237,0.09053497942386833,0.2129120879120879,0.9699248120300752,0.5597484276729561
3,Grumpier Old Men,1995,5.9,3.2,36,10489,66,66,0.9959234314073024,0.9938900203665988,0.5932686822589845,0.3242742433600988,0.4305220883534137,0.17695473251028807,0.3722527472527473,0.524812030075188,0.4622641509433962
4,Waiting to Exhale,1995,5.6,3.3,25,5666,56,79,0.9959234314073024,0.9938900203665988,0.5932686822589845,0.3242742433600988,0.4305220883534137,0.17695473251028807,0.3722527472527473,0.524812030075188,0.4622641509433962
5,Father of the Bride Part II,1995,5.3,3.0,19,13761,47,64,0.2646224742998937,0.9938900203665988,0.2789503707929264,0.2433600988264361,0.06827309236947791,0.1728395061728395,0.3722527472527473,0.9699248120300752,0.4622641509433962
6,Heat,1995,7.7,3.9,58,42785,86,92,0.9959234314073024,0.3775458248472505,0.9868796349115802,0.9864113650401484,0.4305220883534137,0.17695473251028807,0.2815934065934066,0.2706766917293233,0.14779874213836475
7,Sabrina,1995,7.4,3.8,31,12812,90,87,0.9959234314073024,0.9938900203665988,0.5932686822589845,0.3242742433600988,0.4305220883534137,0.17695473251028807,0.3722527472527473,0.524812030075188,0.4622641509433962
8,Tom and Huck,1995,4.2,2.7,8,2649,25,45,0.9959234314073024,0.9938900203665988,0.5932686822589845,0.35948116121062385,0.4305220883534137,0.17695473251028807,0.3722527472527473,0.524812030075188,0.5597484276729561
9,Sudden Death,1995,5.2,2.6,32,3626,53,40,0.18433179723502305,0.1244908350305499,0.9868796349115802,0.9864113650401484,0.9839357429718876,0.24897119341563784,0.16895604395604394,0.05864661654135338,0.14150943396226415
10,GoldenEye,1995,6.8,3.4,41,28260,80,78,0.09500177242112726,0.11125254582484724,0.2783799201369081,0.9864113650401484,0.9839357429718876,0.24897119341563784,0.2129120879120879,0.3503759398496241,0.5597484276729561
